make[1]: Entering directory '/home/luowen/Programing/ACMtasks/CPU2024'
make[1]: Leaving directory '/home/luowen/Programing/ACMtasks/CPU2024'
VCD info: dumpfile test.vcd opened for output.
       242 00000144 8d228522
       243 00000146 3dc18d22
       244 00000148 842a3dc1
       245 00000018 06054063
       246 0000001c 0605c663
       247 00000020 00058613
       248 00000024 00050593
       249 00000028 fff00513
       250 0000002c 02060c63
       251 00000030 00100693
       252 00000034 00b67a63
       253 00000048 00000513
       254 0000004c 00c5e663
       255 00000058 0016d693
       256 0000005c 00165613
       257 00000060 fe0696e3
       258 00000064 00008067
       259 0000014a c0e3842a
       260 0000014c ffa9c0e3
       261 00000150 000c0763
       262 0000015e 009907b3
       263 00000162 0007c683
       264 00000166 17fd873e
       265 00000168 002317fd
       266 0000016a 00da0023
0       267 0000016e fee91ae3
       268 00000172 96e30a91
       269 00000174 fb6a96e3
       270 00000178 002347a9
       271 0000017a 00fa0023

       272 0000017e 01010b13
       273 00000182 0b934a25
       274 00000184 02d00b93
       275 00000188 00030ab7
       276 0000018c 000b2403
       277 00000190 4d634c01
       278 00000192 06044d63
       279 00000196 45a94981
       280 00000198 852245a9
       281 0000019a 37018522
       282 0000019c 84ce3701
       283 0000009c 00008293
       284 000000a0 0005ca63
       285 000000a4 00054c63
       286 000000a8 f79ff0ef
       287 00000020 00058613
       288 00000024 00050593
       289 00000028 fff00513
       290 0000002c 02060c63
       291 00000030 00100693
       292 00000034 00b67a63
       293 00000048 00000513
       294 0000004c 00c5e663
       295 00000058 0016d693
       296 0000005c 00165613
       297 00000060 fe0696e3
       298 00000064 00008067
       299 000000ac 00058513
       300 000000b0 00028067
       301 0000019e 098584ce
       302 000001a0 0cb30985
       303 000001a2 01390cb3
       304 000001a6 03050513
       305 000001aa feac8fa3
       306 000001ae 852245a9
       307 000001b0 8ca28522
       308 000001b2 35958ca2
       309 000001b4 842a3595
       310 00000018 06054063
       311 0000001c 0605c663
       312 00000020 00058613
       313 00000024 00050593
       314 00000028 fff00513
       315 0000002c 02060c63
       316 00000030 00100693
       317 00000034 00b67a63
       318 00000048 00000513
       319 0000004c 00c5e663
       320 00000058 0016d693
       321 0000005c 00165613
       322 00000060 fe0696e3
       323 00000064 00008067
       324 000001b6 40e3842a
       325 000001b8 ff9a40e3
       326 000001bc 000c0763
       327 000001ca 009907b3
       328 000001ce 0007c683
       329 000001d2 17fd873e
       330 000001d4 802317fd
       331 000001d6 00da8023
0       332 000001da fee91ae3
       333 000001de 101c0b11
       334 000001e0 95e3101c
       335 000001e2 fb6795e3
       336 0000018c 000b2403
       337 00000190 4d634c01
       338 00000192 06044d63
       339 00000196 45a94981
       340 00000198 852245a9
       341 0000019a 37018522
       342 0000019c 84ce3701
       343 0000009c 00008293
       344 000000a0 0005ca63
       345 000000a4 00054c63
       346 000000a8 f79ff0ef
       347 00000020 00058613
       348 00000024 00050593
       349 00000028 fff00513
       350 0000002c 02060c63
       351 00000030 00100693
       352 00000034 00b67a63
       353 00000048 00000513
       354 0000004c 00c5e663
       355 00000058 0016d693
       356 0000005c 00165613
       357 00000060 fe0696e3
       358 00000064 00008067
       359 000000ac 00058513
       360 000000b0 00028067
       361 0000019e 098584ce
       362 000001a0 0cb30985
       363 000001a2 01390cb3
       364 000001a6 03050513
       365 000001aa feac8fa3
       366 000001ae 852245a9
       367 000001b0 8ca28522
       368 000001b2 35958ca2
       369 000001b4 842a3595
       370 00000018 06054063
       371 0000001c 0605c663
       372 00000020 00058613
       373 00000024 00050593
       374 00000028 fff00513
       375 0000002c 02060c63
       376 00000030 00100693
       377 00000034 00b67a63
       378 00000048 00000513
       379 0000004c 00c5e663
       380 00000058 0016d693
       381 0000005c 00165613
       382 00000060 fe0696e3
       383 00000064 00008067
       384 000001b6 40e3842a
       385 000001b8 ff9a40e3
       386 000001bc 000c0763
       387 000001ca 009907b3
       388 000001ce 0007c683
       389 000001d2 17fd873e
       390 000001d4 802317fd
       391 000001d6 00da8023
0       392 000001da fee91ae3
       393 000001de 101c0b11
       394 000001e0 95e3101c
       395 000001e2 fb6795e3
       396 0000018c 000b2403
       397 00000190 4d634c01
       398 00000192 06044d63
       399 00000196 45a94981
       400 00000198 852245a9
       401 0000019a 37018522
       402 0000019c 84ce3701
       403 0000009c 00008293
       404 000000a0 0005ca63
       405 000000a4 00054c63
       406 000000a8 f79ff0ef
       407 00000020 00058613
       408 00000024 00050593
       409 00000028 fff00513
       410 0000002c 02060c63
       411 00000030 00100693
       412 00000034 00b67a63
       413 00000048 00000513
       414 0000004c 00c5e663
       415 00000058 0016d693
       416 0000005c 00165613
       417 00000060 fe0696e3
       418 00000064 00008067
       419 000000ac 00058513
       420 000000b0 00028067
       421 0000019e 098584ce
       422 000001a0 0cb30985
       423 000001a2 01390cb3
       424 000001a6 03050513
       425 000001aa feac8fa3
       426 000001ae 852245a9
       427 000001b0 8ca28522
       428 000001b2 35958ca2
       429 000001b4 842a3595
       430 00000018 06054063
       431 0000001c 0605c663
       432 00000020 00058613
       433 00000024 00050593
       434 00000028 fff00513
       435 0000002c 02060c63
       436 00000030 00100693
       437 00000034 00b67a63
       438 00000048 00000513
       439 0000004c 00c5e663
       440 00000058 0016d693
       441 0000005c 00165613
       442 00000060 fe0696e3
       443 00000064 00008067
       444 000001b6 40e3842a
       445 000001b8 ff9a40e3
       446 000001bc 000c0763
       447 000001ca 009907b3
       448 000001ce 0007c683
       449 000001d2 17fd873e
       450 000001d4 802317fd
       451 000001d6 00da8023
0       452 000001da fee91ae3
       453 000001de 101c0b11
       454 000001e0 95e3101c
       455 000001e2 fb6795e3
       456 0000018c 000b2403
       457 00000190 4d634c01
       458 00000192 06044d63
       459 00000196 45a94981
       460 00000198 852245a9
       461 0000019a 37018522
       462 0000019c 84ce3701
       463 0000009c 00008293
       464 000000a0 0005ca63
       465 000000a4 00054c63
       466 000000a8 f79ff0ef
       467 00000020 00058613
       468 00000024 00050593
       469 00000028 fff00513
       470 0000002c 02060c63
       471 00000030 00100693
       472 00000034 00b67a63
       473 00000048 00000513
       474 0000004c 00c5e663
       475 00000058 0016d693
       476 0000005c 00165613
       477 00000060 fe0696e3
       478 00000064 00008067
       479 000000ac 00058513
       480 000000b0 00028067
       481 0000019e 098584ce
       482 000001a0 0cb30985
       483 000001a2 01390cb3
       484 000001a6 03050513
       485 000001aa feac8fa3
       486 000001ae 852245a9
       487 000001b0 8ca28522
       488 000001b2 35958ca2
       489 000001b4 842a3595
       490 00000018 06054063
       491 0000001c 0605c663
       492 00000020 00058613
       493 00000024 00050593
       494 00000028 fff00513
       495 0000002c 02060c63
       496 00000030 00100693
       497 00000034 00b67a63
       498 00000048 00000513
       499 0000004c 00c5e663
       500 00000058 0016d693
       501 0000005c 00165613
       502 00000060 fe0696e3
       503 00000064 00008067
       504 000001b6 40e3842a
       505 000001b8 ff9a40e3
       506 000001bc 000c0763
       507 000001ca 009907b3
       508 000001ce 0007c683
       509 000001d2 17fd873e
       510 000001d4 802317fd
       511 000001d6 00da8023
0       512 000001da fee91ae3
       513 000001de 101c0b11
       514 000001e0 95e3101c
       515 000001e2 fb6795e3
       516 000001e6 442640b6
       517 000001e8 44964426
       518 000001ea 49064496
       519 000001ec 59f24906
       520 000001ee 5a6259f2
       521 000001f0 5ad25a62
       522 000001f2 5b425ad2
       523 000001f4 5bb25b42
       524 000001f6 5c225bb2
       525 000001f8 5c925c22
       526 000001fa 5d025c92
       527 000001fc 45015d02
       528 000001fe 61614501
       529 00000200 80826161
       530 00000202 04338082
       531 ffb00000 00020137
       532 ffb00004 0c8000ef
       533 ffb000cc da56715d
       534 ffb000ce c0cada56
       535 ffb000d0 de4ec0ca
       536 ffb000d2 dc52de4e
       537 ffb000d4 d85adc52
       538 ffb000d6 d65ed85a
       539 ffb000d8 0793d65e
       540 ffb000da 21400793
       541 ffb000de c4a2c686
       542 ffb000e0 c2a6c4a2
       543 ffb000e2 d462c2a6
       544 ffb000e4 d266d462
       545 ffb000e6 d06ad266
       546 ffb000e8 4711d06a
       547 ffb000ea 0a934711
       548 ffb000ec 21400a93
       549 ffb000f0 46094585
       550 ffb000f2 468d4609
       551 ffb000f4 a023468d
       552 ffb000f6 0007a023
       553 ffb000fa 0007a223
       554 ffb000fe 0007a423
       555 ffb00102 0007a623
       556 ffb00106 010a8b13
       557 ffb0010a ca32c82e
       558 ffb0010c cc36ca32
       559 ffb0010e ce3acc36
       560 ffb00110 0933ce3a
       561 ffb00112 00e10933
       562 ffb00116 0b9349a5
       563 ffb00118 02d00b93
       564 ffb0011c 00030a37
       565 ffb00120 000aa403
       566 ffb00124 4f634c01
       567 ffb00126 0c044f63
       568 ffb0012a 45a94c81
       569 ffb0012c 852245a9
       570 ffb0012e 37b58522
       571 ffb00130 84e637b5
       572 ffb0009c 00008293
       573 ffb000a0 0005ca63
       574 ffb000a4 00054c63
       575 ffb000a8 f79ff0ef
       576 ffb00020 00058613
       577 ffb00024 00050593
       578 ffb00028 fff00513
       579 ffb0002c 02060c63
       580 ffb00030 00100693
       581 ffb00034 00b67a63
       582 ffb00048 00000513
       583 ffb0004c 00c5e663
       584 ffb00058 0016d693
       585 ffb0005c 00165613
       586 ffb00060 fe0696e3
       587 ffb00064 00008067
       588 ffb000ac 00058513
       589 ffb000b0 00028067
       590 ffb00132 0c8584e6
       591 ffb00134 0d330c85
       592 ffb00136 01990d33
       593 ffb0013a 03050513
       594 ffb0013e fead0fa3
       595 ffb00142 852245a9
       596 ffb00144 8d228522
       597 ffb00146 3dc18d22
       598 ffb00148 842a3dc1
       599 ffb00018 06054063
       600 ffb0001c 0605c663
       601 ffb00020 00058613
       602 ffb00024 00050593
       603 ffb00028 fff00513
       604 ffb0002c 02060c63
       605 ffb00030 00100693
       606 ffb00034 00b67a63
       607 ffb00048 00000513
       608 ffb0004c 00c5e663
       609 ffb00058 0016d693
       610 ffb0005c 00165613
       611 ffb00060 fe0696e3
       612 ffb00064 00008067
       613 ffb0014a c0e3842a
       614 ffb0014c ffa9c0e3
